,Reactant,Charge R,Multiplicity R,Product,Charge P,Multiplicity P,X,R1,R2,R3,R4,R5,Potential,canonSMILES
23,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OC)C=C1,1,2,O,C,C1=CC=CC=C1,N(C)(C),[H],C1=CC=CC=C1,0.74506117,COC(c1ccccc1)C(c1ccccc1)c1ccc(N(C)C)cc1
24,N(C)(C)C1=CC=C(C(C)(C)C(OC)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(OC)OC)C=C1,1,2,O,C,OC,N(C)(C),C,C,0.74522443,COC(OC)C(C)(C)c1ccc(N(C)C)cc1
26,N(C)(C)C1=CC=C(C([H])([H])C(C)OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(C)OC)C=C1,1,2,O,C,C,N(C)(C),[H],[H],0.74960524,COC(C)Cc1ccc(N(C)C)cc1
27,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C([H])OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C([H])OC)C=C1,1,2,O,C,[H],N(C)(C),C1=CC=CC=C1,[H],0.75172762,COCC(c1ccccc1)c1ccc(N(C)C)cc1
29,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(OC)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(OC)OCOC)C=C1,1,2,O,COC,OC,N(C)(C),[H],C1=CC=CC=C1,0.7527616,COCOC(OC)C(c1ccccc1)c1ccc(N(C)C)cc1
30,N(C)(C)C1=CC=C(C([H])([H])C(OC)OC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(OC)OC)C=C1,1,2,O,C,OC,N(C)(C),[H],[H],0.75640774,COC(Cc1ccc(N(C)C)cc1)OC
31,N(C)(C)C1=CC=C(C(C)(C)C([H])OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],N(C)(C),C,C,0.75695194,CN(C)c1ccc(C(C)(C)COc2ccccc2)cc1
32,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(OC)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(OC)OC)C=C1,1,2,O,C,OC,N(C)(C),C1=CC=CC=C1,C,0.75744172,COC(OC)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
35,N(C)(C)C1=CC=C(C([H])(C)C(C)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C(C)OCOC)C=C1,1,2,O,COC,C,N(C)(C),[H],C,0.76103344,COCOC(C)C(C)c1ccc(N(C)C)cc1
37,N(C)(C)C1=CC=C(C([H])(C)C([H])OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],N(C)(C),[H],C,0.762013,CC(COc1ccccc1)c1ccc(N(C)C)cc1
38,N(C)(C)C1=CC=C(C([H])(C)C(C)OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,N(C)(C),[H],C,0.76288372,CC(Oc1ccccc1)C(C)c1ccc(N(C)C)cc1
39,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,N(C)(C),[H],C1=CC=CC=C1,0.76329187,CN(C)c1ccc(C(c2ccccc2)C(Oc2ccccc2)c2ccccc2)cc1
40,N(C)(C)C1=CC=C(C([H])(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,N(C)(C),[H],C,0.76378165,CC(c1ccc(N(C)C)cc1)C(Oc1ccccc1)c1ccccc1
41,N(C)(C)C1=CC=C(C([H])([H])C(C)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(C)OCOC)C=C1,1,2,O,COC,C,N(C)(C),[H],[H],0.76476121,COCOC(C)Cc1ccc(N(C)C)cc1
42,N(C)(C)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,N(C)(C),C,C,0.76560472,CN(C)c1ccc(C(C)(C)C(Oc2ccccc2)c2ccccc2)cc1
43,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC)C=C1,1,2,O,C,C1=CC=CC=C1,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.76601287,COC(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
44,N(C)(C)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,N(C)(C),C,C,0.7660945,COCOC(c1ccccc1)C(C)(C)c1ccc(N(C)C)cc1
45,N(C)(C)C1=CC=C(C(C)(C)C(C)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(C)OCOC)C=C1,1,2,O,COC,C,N(C)(C),C,C,0.76764547,COCOC(C)C(C)(C)c1ccc(N(C)C)cc1
46,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C3=CC=CC=C3)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C3=CC=CC=C3)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,N(C)(C),C,C1=CC=CC=C1,0.76919644,COCOC(c1ccccc1)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
47,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(OC)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(OC)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,OC,N(C)(C),C1=CC=CC=C1,C,0.7696318,COC(Oc1ccccc1)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
